2015,Toyota,Corolla,clean,9880,44463,Great Neck NY,Silver,Black,FWD,Automatic,Sedan,4Cyl,1.8L,Gasoline,27,35,2T1BURHE6FC302084
2015,Toyota,RAV4,clean,14980,24367,Great Neck NY,Silver,Gray,AWD,Automatic,SUV,4Cyl,2.5L,Gasoline,22,28,2T3BFREV0FW353388
2005,Toyota,4Runner,clean,7495,149179,Marietta GA,Blue,Black,RWD,Automatic,SUV,6Cyl,4.0L,Gasoline,16,20,JTEZU14R258027392
2015,Toyota,Venza,clean,12980,46214,Great Neck NY,White,Tan,FWD,Automatic,Wagon,4Cyl,2.7L,Gasoline,20,26,4T3ZA3BB1FU092292
2015,Toyota,RAV4,clean,14890,38140,Great Neck NY,Gray,Gray,AWD,Automatic,SUV,4Cyl,2.5L,Gasoline,22,28,JTMBFREV5FJ050329
2016,Toyota,Camry,clean,15590,23290,Great Neck NY,Black,Black,FWD,Automatic,Sedan,4Cyl,2.5L,Gasoline,25,34,4T1BF1FK1GU527288
2015,Toyota,RAV4,clean,14980,32195,Great Neck NY,White,Gray,AWD,Automatic,SUV,4Cyl,2.5L,Gasoline,22,28,2T3BFREV4FW267002
2005,Toyota,Highlander,clean,4900,234465,Fremont CA,Beige,Tan,4WD,Automatic,SUV,6Cyl,3.3L,Gasoline,16,22,JTEEP21A750103858
2013,Toyota,Prius,clean,6500,216235,Fremont CA,White,Gray,FWD,Automatic,Hatchback,4Cyl,1.8L,Hybrid,49,46,JTDKN3DU6D0347802
2006,Toyota,Prius,clean,7350,70569,Fremont CA,Blue,Tan,FWD,Automatic,Hatchback,4Cyl,1.5L,Hybrid,48,45,JTDKB20U963165148
2010,Toyota,Prius,clean,7499,196339,Renton WA,Blue,Gray,FWD,Automatic,Hatchback,4Cyl,1.8L,Hybrid,0,0,JTDKN3DU5A0174947
2002,Toyota,Tacoma,clean,5995,191864,Sacramento CA,Silver,Gray,RWD,Automatic,Pickup,4Cyl,2.4L,Gasoline,19,23,5TEVL52N52Z037017
2005,Toyota,Corolla,clean,4899,140018,Sacramento CA,Green,Gray,FWD,Automatic,Sedan,4Cyl,1.8L,Gasoline,26,35,1NXBR32E35Z496254
2015,Toyota,Prius,clean,12999,68362,Davis CA,Silver,Gray,FWD,Automatic,Hatchback,4Cyl,1.8L,Hybrid,50,46,JTDKN3DU0F0403784
2013,Toyota,Avalon,clean,19998,43494,Bellevue WA,White,Black,FWD,Automatic,Sedan,4Cyl,2.5L,Hybrid,40,39,4T1BD1EB5DU008473
2017,Toyota,Prius,clean,25988,8922,Daly City CA,Silver,Unspecified,FWD,Automatic,Hatchback,4Cyl,1.8L,Hybrid,55,53,JTDKARFP1H3009878
2015,Toyota,Corolla,clean,15986,13773,Everett WA,Red,Black,FWD,Automatic,Sedan,4Cyl,1.8L,Gasoline,27,35,2T1BURHE2FC365215
2014,Toyota,Avalon,clean,19497,30136,Spokane Valley WA,Black,Gray,FWD,Automatic,Sedan,6Cyl,3.5L,Gasoline,21,30,4T1BK1EB0EU118967
